Condiciones de Ingreso;Disciplina;Domicilio;Duración;Estrategica;Facultad;Mail;Provincia;Teléfono;Tipo de Título;Título;Universidad;Web;existe_1988;existe_2003;Ámbito
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;3 Años;False;Facultad de Turismo y Hospitalidad;contacto@uai.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 43427788;Título Intermedio;Técnico Universitario en Turismo;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;3 Años;False;Facultad de Turismo y Hospitalidad;contacto@uai.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 43427788;Título Intermedio;Técnico Universitario en Turismo;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av.Pellegrini 1816 - Rosario - Santa Fé ;3 Años;False;Facultad de Turismo y Hospitalidad - Rosario;uairosario@uai.edu.ar;Santa Fé;(00341) 4408010;Otros Pregrados;Guía Universitario en Turismo;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av.Pellegrini 1816 - Rosario - Santa Fé ;3 Años;False;Facultad de Turismo y Hospitalidad - Rosario;uairosario@uai.edu.ar;Santa Fé;(00341) 4408010;Otros Pregrados;Guía Universitario en Turismo;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av.Pellegrini 1816 - Rosario - Santa Fé ;4 Años;False;Facultad de Turismo y Hospitalidad - Rosario;uairosario@uai.edu.ar;Santa Fé;(00341) 4408010;Grado;Licenciado en Hotelería;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av.Pellegrini 1816 - Rosario - Santa Fé ;4 Años;False;Facultad de Turismo y Hospitalidad - Rosario;uairosario@uai.edu.ar;Santa Fé;(00341) 4408010;Grado;Licenciado en Hotelería;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av.Pellegrini 1816 - Rosario - Santa Fé ;4 Años;False;Facultad de Turismo y Hospitalidad - Rosario;uairosario@uai.edu.ar;Santa Fé;(00341) 4408010;Grado;Licenciado en Turismo;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av.Pellegrini 1816 - Rosario - Santa Fé ;4 Años;False;Facultad de Turismo y Hospitalidad - Rosario;uairosario@uai.edu.ar;Santa Fé;(00341) 4408010;Grado;Licenciado en Turismo;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av.Pellegrini 1816 - Rosario - Santa Fé ;3 Años;False;Facultad de Turismo y Hospitalidad - Rosario;uairosario@uai.edu.ar;Santa Fé;(00341) 4408010;Título Intermedio;Técnico Universitario en Hotelería;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av.Pellegrini 1816 - Rosario - Santa Fé ;3 Años;False;Facultad de Turismo y Hospitalidad - Rosario;uairosario@uai.edu.ar;Santa Fé;(00341) 4408010;Título Intermedio;Técnico Universitario en Hotelería;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av.Pellegrini 1816 - Rosario - Santa Fé ;3 Años;False;Facultad de Turismo y Hospitalidad - Rosario;uairosario@uai.edu.ar;Santa Fé;(00341) 4408010;Título Intermedio;Técnico Universitario en Turismo;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av.Pellegrini 1816 - Rosario - Santa Fé ;3 Años;False;Facultad de Turismo y Hospitalidad - Rosario;uairosario@uai.edu.ar;Santa Fé;(00341) 4408010;Título Intermedio;Técnico Universitario en Turismo;Universidad Abierta Interamericana;www.uai.edu.ar ;;;Privado
Consulte con la Institución;Demografía y Geografía;Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;2.5 Años;False;Facultad de Comunicación;admision@uade.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 40007600;Otros Pregrados;Guía Bilingüe de Turismo;Universidad Argentina de la Empresa;www.uade.edu.ar ;;;Privado
Consulte con la Institución;Demografía y Geografía;Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;2.5 Años;False;Facultad de Comunicación;admision@uade.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 40007600;Otros Pregrados;Guía Bilingüe de Turismo;Universidad Argentina de la Empresa;www.uade.edu.ar ;;;Privado
Consulte con la Institución;Demografía y Geografía;Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;4 Años;False;Facultad de Comunicación;admision@uade.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 40007600;Grado;Licenciado en Turismo y Hotelería;Universidad Argentina de la Empresa;www.uade.edu.ar ;;;Privado
Consulte con la Institución;Demografía y Geografía;Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;4 Años;False;Facultad de Comunicación;admision@uade.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 40007600;Grado;Licenciado en Turismo y Hotelería;Universidad Argentina de la Empresa;www.uade.edu.ar ;;;Privado
Consulte con la Institución;Demografía y Geografía;Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;5 Cuatrimestres;False;Facultad de Comunicación;admision@uade.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 40007600;Título Intermedio;Técnico Universitario en Turismo y Hotelería;Universidad Argentina de la Empresa;www.uade.edu.ar ;;;Privado
Consulte con la Institución;Demografía y Geografía;Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;5 Cuatrimestres;False;Facultad de Comunicación;admision@uade.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 40007600;Título Intermedio;Técnico Universitario en Turismo y Hotelería;Universidad Argentina de la Empresa;www.uade.edu.ar ;;;Privado
Consulte con la Institución;Demografía y Geografía;Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;5 Cuatrimestres;False;Facultad de Comunicación y Diseño;admision@uade.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 40007600;Título Intermedio;Técnico Universitario en Turismo y Hotelería;Universidad Argentina de la Empresa;www.uade.edu.ar ;;;Privado
Consulte con la Institución;Demografía y Geografía;Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;5 Cuatrimestres;False;Facultad de Comunicación y Diseño;admision@uade.edu.ar;Ciudad Autonoma de Buenos Aires;(0011) 40007600;Título Intermedio;Técnico Universitario en Turismo y Hotelería;Universidad Argentina de la Empresa;www.uade.edu.ar ;;;Privado
Ingreso Directo;Demografía y Geografía;Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;4 Años;False;Facultad de Ciencias Económicas y Empresariales;info@kennedy.edu.ar;Ciudad Autonoma de Buenos Aires;(00800) 2225366;Grado;Licenciado en Turismo;Universidad Argentina John F. Kennedy;http://www.kennedy.edu.ar/ ;;;Privado
Ingreso Directo;Demografía y Geografía;Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;4 Años;False;Facultad de Ciencias Económicas y Empresariales;info@kennedy.edu.ar;Ciudad Autonoma de Buenos Aires;(00800) 2225366;Grado;Licenciado en Turismo;Universidad Argentina John F. Kennedy;http://www.kennedy.edu.ar/ ;;;Privado
Consulte con la Institución;Demografía y Geografía;Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;4 Años;False;Facultad de Ciencias Económicas y Empresariales;info@kennedy.edu.ar;Ciudad Autonoma de Buenos Aires;(00800) 2225366;Grado;Licenciado en Turismo - MD;Universidad Argentina John F. Kennedy;http://www.kennedy.edu.ar/ ;;;Privado
Consulte con la Institución;Demografía y Geografía;Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;4 Años;False;Facultad de Ciencias Económicas y Empresariales;info@kennedy.edu.ar;Ciudad Autonoma de Buenos Aires;(00800) 2225366;Grado;Licenciado en Turismo - MD;Universidad Argentina John F. Kennedy;http://www.kennedy.edu.ar/ ;;;Privado
Ingreso Directo;Demografía y Geografía;Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;2.5 Años;False;Facultad de Ciencias Económicas y Empresariales;info@kennedy.edu.ar;Ciudad Autonoma de Buenos Aires;(00800) 2225366;Título Intermedio;Técnico Universitario en Turismo;Universidad Argentina John F. Kennedy;http://www.kennedy.edu.ar/ ;;;Privado
Ingreso Directo;Demografía y Geografía;Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;2.5 Años;False;Facultad de Ciencias Económicas y Empresariales;info@kennedy.edu.ar;Ciudad Autonoma de Buenos Aires;(00800) 2225366;Título Intermedio;Técnico Universitario en Turismo;Universidad Argentina John F. Kennedy;http://www.kennedy.edu.ar/ ;;;Privado
Ingreso Directo;Demografía y Geografía;Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;2.5 Años;False;Facultad de Ciencias Económicas y Empresariales;info@kennedy.edu.ar;Ciudad Autonoma de Buenos Aires;(00800) 2225366;Título Intermedio;Técnico Universitario en Turismo - MD;Universidad Argentina John F. Kennedy;http://www.kennedy.edu.ar/ ;;;Privado
Ingreso Directo;Demografía y Geografía;Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ;2.5 Años;False;Facultad de Ciencias Económicas y Empresariales;info@kennedy.edu.ar;Ciudad Autonoma de Buenos Aires;(00800) 2225366;Título Intermedio;Técnico Universitario en Turismo - MD;Universidad Argentina John F. Kennedy;http://www.kennedy.edu.ar/ ;;;Privado
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;ARENALES 2740 - Mar Del Plata - Buenos Aires ;3 Años;False;ANEXO MAR DEL PLATA;universidad@mdp.atlantida.edu.ar;Buenos Aires;(00223) 4915400;Título Intermedio;Guía de Turismo;Universidad Atlántida Argentina;http://www.atlantida.edu.ar/ ;;;Privado
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;ARENALES 2740 - Mar Del Plata - Buenos Aires ;3 Años;False;ANEXO MAR DEL PLATA;universidad@mdp.atlantida.edu.ar;Buenos Aires;(00223) 4915400;Título Intermedio;Guía de Turismo;Universidad Atlántida Argentina;http://www.atlantida.edu.ar/ ;;;Privado
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;ARENALES 2740 - Mar Del Plata - Buenos Aires ;5 Años;False;ANEXO MAR DEL PLATA;universidad@mdp.atlantida.edu.ar;Buenos Aires;(00223) 4915400;Grado;Licenciado en Turismo;Universidad Atlántida Argentina;http://www.atlantida.edu.ar/ ;;;Privado
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;ARENALES 2740 - Mar Del Plata - Buenos Aires ;5 Años;False;ANEXO MAR DEL PLATA;universidad@mdp.atlantida.edu.ar;Buenos Aires;(00223) 4915400;Grado;Licenciado en Turismo;Universidad Atlántida Argentina;http://www.atlantida.edu.ar/ ;;;Privado
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;DIAG. RIVADAVIA 515 - Mar De Ajo - Buenos Aires ;3 Años;False;UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL;universidad@atlantida.edu.ar;Buenos Aires;(002257) 420338;Título Intermedio;Guía de Turismo;Universidad Atlántida Argentina;http://www.atlantida.edu.ar/ ;;;Privado
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;DIAG. RIVADAVIA 515 - Mar De Ajo - Buenos Aires ;3 Años;False;UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL;universidad@atlantida.edu.ar;Buenos Aires;(002257) 420338;Título Intermedio;Guía de Turismo;Universidad Atlántida Argentina;http://www.atlantida.edu.ar/ ;;;Privado
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;DIAG. RIVADAVIA 515 - Mar De Ajo - Buenos Aires ;5 Años;False;UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL;universidad@atlantida.edu.ar;Buenos Aires;(002257) 420338;Grado;Licenciado en Turismo;Universidad Atlántida Argentina;http://www.atlantida.edu.ar/ ;;;Privado
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;DIAG. RIVADAVIA 515 - Mar De Ajo - Buenos Aires ;5 Años;False;UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL;universidad@atlantida.edu.ar;Buenos Aires;(002257) 420338;Grado;Licenciado en Turismo;Universidad Atlántida Argentina;http://www.atlantida.edu.ar/ ;;;Privado
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Las Violetas 853 - Colonia La Argentina - Entre Ríos ;3 Años;False;Facultad de Ciencias de la Gestión. Sede Federación; ;Entre Ríos;(003456) 481558;Técnico Instrumental;Técnico en Hotelería;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Las Violetas 853 - Colonia La Argentina - Entre Ríos ;3 Años;False;Facultad de Ciencias de la Gestión. Sede Federación; ;Entre Ríos;(003456) 481558;Técnico Instrumental;Técnico en Hotelería;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;25 de Mayo 497 - Gualeguaychu - Entre Ríos ;3 Años;False;Facultad de Ciencias de la Gestión. Sede Gualeguaychú;fcghoteleriagualeguaychu@hotmail.com;Entre Ríos;(003446) 427456;Técnico Instrumental;Técnico en Hotelería;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;25 de Mayo 497 - Gualeguaychu - Entre Ríos ;3 Años;False;Facultad de Ciencias de la Gestión. Sede Gualeguaychú;fcghoteleriagualeguaychu@hotmail.com;Entre Ríos;(003446) 427456;Técnico Instrumental;Técnico en Hotelería;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Urquiza 1225 - Paraná - Entre Ríos ;4 Años;False;Facultad de Ciencias de la Gestión. Sede Paraná;fcg_prensa@uader.edu.ar;Entre Ríos;(00343) 4211538;Grado;Licenciado en Turismo;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Urquiza 1225 - Paraná - Entre Ríos ;4 Años;False;Facultad de Ciencias de la Gestión. Sede Paraná;fcg_prensa@uader.edu.ar;Entre Ríos;(00343) 4211538;Grado;Licenciado en Turismo;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Urquiza 1225 - Paraná - Entre Ríos ;3 Años;False;Facultad de Ciencias de la Gestión. Sede Paraná;fcg_prensa@uader.edu.ar;Entre Ríos;(00343) 4211538;Técnico Instrumental;Técnico en Turismo;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Urquiza 1225 - Paraná - Entre Ríos ;3 Años;False;Facultad de Ciencias de la Gestión. Sede Paraná;fcg_prensa@uader.edu.ar;Entre Ríos;(00343) 4211538;Técnico Instrumental;Técnico en Turismo;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Leguizamon 24 - Concepcion Del Uruguay - Entre Ríos ;4 Años;False;Facultad de Ciencias de la Gestión. Sede Uruguay;fcg_sedeuruguay@uader.edu.ar;Entre Ríos;(003442) 425554;Grado;Licenciado en Turismo;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Leguizamon 24 - Concepcion Del Uruguay - Entre Ríos ;4 Años;False;Facultad de Ciencias de la Gestión. Sede Uruguay;fcg_sedeuruguay@uader.edu.ar;Entre Ríos;(003442) 425554;Grado;Licenciado en Turismo;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Leguizamon 24 - Concepcion Del Uruguay - Entre Ríos ;3 Años;False;Facultad de Ciencias de la Gestión. Sede Uruguay;fcg_sedeuruguay@uader.edu.ar;Entre Ríos;(003442) 425554;Técnico Instrumental;Técnico en Turismo;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Leguizamon 24 - Concepcion Del Uruguay - Entre Ríos ;3 Años;False;Facultad de Ciencias de la Gestión. Sede Uruguay;fcg_sedeuruguay@uader.edu.ar;Entre Ríos;(003442) 425554;Técnico Instrumental;Técnico en Turismo;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Mitre 22 - Villaguay - Entre Ríos ;3 Años;False;Facultad de Ciencias de la Gestión. Sede Villaguay;turismo@fcgvillaguay.com.ar;Entre Ríos;(003455) 424026;Técnico Instrumental;Técnico en Turismo;Universidad Autónoma de Entre Ríos;www.fcgvillaguay.com.ar ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Mitre 22 - Villaguay - Entre Ríos ;3 Años;False;Facultad de Ciencias de la Gestión. Sede Villaguay;turismo@fcgvillaguay.com.ar;Entre Ríos;(003455) 424026;Técnico Instrumental;Técnico en Turismo;Universidad Autónoma de Entre Ríos;www.fcgvillaguay.com.ar ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Justo José de Urquiza 900 - Paraná - Entre Ríos ;5 Años;True;Facultad de Humanidades, Artes y Ciencias Sociales. Sede Paraná;comunicacion@fhaycs.uader.edu.ar;Entre Ríos;(00343) 4209702;Grado;Licenciado en Geografía;Universidad Autónoma de Entre Ríos;http://fhaycs-uader.edu.ar/ ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Justo José de Urquiza 900 - Paraná - Entre Ríos ;5 Años;True;Facultad de Humanidades, Artes y Ciencias Sociales. Sede Paraná;comunicacion@fhaycs.uader.edu.ar;Entre Ríos;(00343) 4209702;Grado;Licenciado en Geografía;Universidad Autónoma de Entre Ríos;http://fhaycs-uader.edu.ar/ ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Justo José de Urquiza 900 - Paraná - Entre Ríos ;4 Años;True;Facultad de Humanidades, Artes y Ciencias Sociales. Sede Paraná;comunicacion@fhaycs.uader.edu.ar;Entre Ríos;(00343) 4209702;Grado;Profesor de Geografía;Universidad Autónoma de Entre Ríos;http://fhaycs-uader.edu.ar/ ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Justo José de Urquiza 900 - Paraná - Entre Ríos ;4 Años;True;Facultad de Humanidades, Artes y Ciencias Sociales. Sede Paraná;comunicacion@fhaycs.uader.edu.ar;Entre Ríos;(00343) 4209702;Grado;Profesor de Geografía;Universidad Autónoma de Entre Ríos;http://fhaycs-uader.edu.ar/ ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Jordana 50 - Concepcion Del Uruguay - Entre Ríos ;5 Años;True;Facultad de Humanidades, Artes y Ciencias Sociales. Sede Uruguay; ;Entre Ríos;(003442) 425559;Grado;Licenciado en Geografía;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Jordana 50 - Concepcion Del Uruguay - Entre Ríos ;5 Años;True;Facultad de Humanidades, Artes y Ciencias Sociales. Sede Uruguay; ;Entre Ríos;(003442) 425559;Grado;Licenciado en Geografía;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Jordana 50 - Concepcion Del Uruguay - Entre Ríos ;4 Años;True;Facultad de Humanidades, Artes y Ciencias Sociales. Sede Uruguay; ;Entre Ríos;(003442) 425559;Grado;Profesor de Geografía;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia a Curso de Ingreso o Nivelación;Demografía y Geografía;Jordana 50 - Concepcion Del Uruguay - Entre Ríos ;4 Años;True;Facultad de Humanidades, Artes y Ciencias Sociales. Sede Uruguay; ;Entre Ríos;(003442) 425559;Grado;Profesor de Geografía;Universidad Autónoma de Entre Ríos; ;;;Público
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av. Donato Álvarez 380 - Córdoba - Córdoba ;4 Años;False;Vicerrectorado de Asuntos Académicos;informes@ubp.edu.ar;Córdoba;(00351) 4144444;Grado;Licenciado en Turismo;Universidad Blas Pascal;http://www.ubp.edu.ar/ ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av. Donato Álvarez 380 - Córdoba - Córdoba ;4 Años;False;Vicerrectorado de Asuntos Académicos;informes@ubp.edu.ar;Córdoba;(00351) 4144444;Grado;Licenciado en Turismo;Universidad Blas Pascal;http://www.ubp.edu.ar/ ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av. Donato Álvarez 380 - Córdoba - Córdoba ;4 Años;False;Vicerrectorado de Asuntos Académicos;informes@ubp.edu.ar;Córdoba;(00351) 4144444;Grado;Licenciado en Turismo - MD;Universidad Blas Pascal;http://www.ubp.edu.ar/ ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av. Donato Álvarez 380 - Córdoba - Córdoba ;4 Años;False;Vicerrectorado de Asuntos Académicos;informes@ubp.edu.ar;Córdoba;(00351) 4144444;Grado;Licenciado en Turismo - MD;Universidad Blas Pascal;http://www.ubp.edu.ar/ ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av. Donato Álvarez 380 - Córdoba - Córdoba ;2 Años;True;Vicerrectorado de Asuntos Académicos;informes@ubp.edu.ar;Córdoba;(00351) 4144444;Otros Pregrados;Técnico Universitario en Administración de Empresas de Turismo - MD;Universidad Blas Pascal;http://www.ubp.edu.ar/ ;;;Privado
Asistencia y Aprobación a Curso de Ingreso o Nivelación;Demografía y Geografía;Av. Donato Álvarez 380 - Córdoba - Córdoba ;2 Años;True;Vicerrectorado de Asuntos Académicos;informes@ubp.edu.ar;Córdoba;(00351) 4144444;Otros Pregrados;Técnico Universitario en Administración de Empresas de Turismo - MD;Universidad Blas Pascal;http://www.ubp.edu.ar/ ;;;Privado
