clave provincial,cue,anexo,sede/axo/ext,region educativa,area,nombre establecimiento,dirección calle,dirección nro.,partido,característica telefónica,teléfono,código postal,email,paraje,localidad,distrito,tipo organización,ubicación,sector de gestión,dependencia,subvención,modalidad,nivel,matrícula RA2017,latitud,longitud,Matricula est 5to
0001MS0005,608853,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 ""PERITO FRANCISCO MORENO""",531 E/ 115 Y 115 BIS,S/N,La Plata,221,423-3088,1900,LAPERITOMORENO@YAHOO.COM.AR,,TOLOSA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,50.0,-34.892841,-57.962711,7.0
0001MS0007,608875,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 ""REPUBLICA ARGENTINA""",Diag 144 esq 415,S/N,La Plata,221,474-2558,1895,EES7ARTUROSEGUI@GMAIL.COM,,ARTURO SEGUI,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,399.0,-34.88776,-58.125743,53.0
0001MS0007,608875,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 ""REPUBLICA ARGENTINA""",Diag 144 esq 415,S/N,La Plata,221,474-2558,1895,EES7ARTUROSEGUI@GMAIL.COM,,ARTURO SEGUI,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,147.0,-34.88776,-58.125743,20.0
0001MS0007,608875,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 ""REPUBLICA ARGENTINA""",Diag 144 esq 415,S/N,La Plata,221,474-2558,1895,EES7ARTUROSEGUI@GMAIL.COM,,ARTURO SEGUI,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Formación Profesional,45.0,-34.88776,-58.125743,6.0
0001MS0008,608884,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 ""PEDRO BENOIT""",48 E/ 9 Y 10,717,La Plata,221,427-2923,1900,EES8LP@GMAIL.COM,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,571.0,-34.915826,-57.953888,76.0
0001MS0008,608884,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 ""PEDRO BENOIT""",48 E/ 9 Y 10,717,La Plata,221,427-2923,1900,EES8LP@GMAIL.COM,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,208.0,-34.915826,-57.953888,28.0
0001MS0008,608884,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 ""PEDRO BENOIT""",48 E/ 9 Y 10,717,La Plata,221,427-2923,1900,EES8LP@GMAIL.COM,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Plan Fines (Trayectos y Deudores),142.0,-34.915826,-57.953888,19.0
0001MS0009,606222,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº9,199 E/ 46 Y 47,S/N,La Plata,221,496-3744,1901,ESECUNDARIANUEVE@YAHOO.COM.AR,,LISANDRO OLMOS,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,598.0,-34.999515,-58.047517,80.0
0001MS0009,606222,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº9,199 E/ 46 Y 47,S/N,La Plata,221,496-3744,1901,ESECUNDARIANUEVE@YAHOO.COM.AR,,LISANDRO OLMOS,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,162.0,-34.999515,-58.047517,22.0
0001MS0011,607842,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 ""JUAN MANTOVANI""",526 Y 24,S/N,La Plata,221,470-2964,1900,MEDIA11.JUANMANTOVANI@GMAIL.COM,EL CORRALON,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,124.0,-34.911834,-57.993092,17.0
0001MS0011,607842,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 ""JUAN MANTOVANI""",526 Y 24,S/N,La Plata,221,470-2964,1900,MEDIA11.JUANMANTOVANI@GMAIL.COM,EL CORRALON,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,207.0,-34.911834,-57.993092,28.0
0001MS0012,611383,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº12 ""MANUEL B GONNET""",495 E/ CENTENARIO Y 15 BIS,S/N,La Plata,221,471-2052/1336,1897,,,MANUEL B. GONNET,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,795.0,-34.878049,-58.022178,106.0
0001MS0012,611383,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº12 ""MANUEL B GONNET""",495 E/ CENTENARIO Y 15 BIS,S/N,La Plata,221,471-2052/1336,1897,,,MANUEL B. GONNET,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,228.0,-34.878049,-58.022178,31.0
0001MS0013,608909,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº13 ""SOLDADOS DE MALVINAS""",22 E/ 48 Y 49,S/N,La Plata,221,451-4483,1900,MM001013@YAHOO.COM.AR,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,700.0,-34.92832,-57.966444,94.0
0001MS0014,608890,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº14 ""CARLOS VERGARA""",35 esq 4,S/N,La Plata,221,422-1225,1900,CNVERGARA@YAHOO.COM.AR,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,511.0,-34.900571,-57.962428,68.0
0001MS0014,608890,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº14 ""CARLOS VERGARA""",35 esq 4,S/N,La Plata,221,422-1225,1900,CNVERGARA@YAHOO.COM.AR,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,178.0,-34.900571,-57.962428,24.0
0001MS0015,602918,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº15 ""LUIS F. LELOIR""",CALLE 464 ESQ. 19,,La Plata,221,472-1713/4550,1896,MEDIA15EBFL@YHAOO.COM.AR,,City Bell,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,608.0,-34.874742,-58.057613,81.0
0001MS0016,611387,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº16 ""HIPOLITO YRIGOYEN""",AV. 66 E/ 153 Y 154,S/N,La Plata,221,450-1100/456177,1900,SECUNDARIA16LAPLATA@GMAIL.COM,,LOS HORNOS,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,612.0,-34.969537,-57.983227,82.0
0001MS0016,611387,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº16 ""HIPOLITO YRIGOYEN""",AV. 66 E/ 153 Y 154,S/N,La Plata,221,450-1100/456177,1900,SECUNDARIA16LAPLATA@GMAIL.COM,,LOS HORNOS,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,220.0,-34.969537,-57.983227,29.0
0001MS0017,608541,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº17,calle 116 esq. 69,1797,La Plata,221,489-5068,1900,EESN17@YAHOO.COM.AR,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,465.0,-34.920991,-57.923538,62.0
0001MS0017,608541,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº17,calle 116 esq. 69,1797,La Plata,221,489-5068,1900,EESN17@YAHOO.COM.AR,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,98.0,-34.920991,-57.923538,13.0
0001MS0022,608986,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº22,520 E/ 138 Y 139,S/N,La Plata,221,479-8084,1901,MEDIA22LAPLATA@YAHOO.COM.AR,,ABASTO,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,922.0,-34.919933,-58.015273,124.0
0001MS0026,608892,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº26,4 ENTRE 62 Y 63,S/N,La Plata,221,425-8371,1900,MEDIA262004@YAHOO.COM.AR,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,645.0,-34.919961,-57.935765,86.0
0001MS0027,608846,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº27 ""GRACIELA PERNAS MARTINO""",35 E/ 16 Y 17,1078,La Plata,221,425-9640,1900,ESCUELAMM001027@YAHOO.COM.AR,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,540.0,-34.912278,-57.975258,72.0
0001MS0027,608846,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº27 ""GRACIELA PERNAS MARTINO""",35 E/ 16 Y 17,1078,La Plata,221,425-9640,1900,ESCUELAMM001027@YAHOO.COM.AR,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,277.0,-34.912278,-57.975258,37.0
0001MS0028,606261,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº28 ""DANTE L. SEGUNDO PEREIRA""",5 e/ 421 y 422,S/N,La Plata,221,4731219/4871365,1894,MM001028@ABC.GOV.AR,,VILLA ELISA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,248.0,-34.853349,-58.074543,33.0
0001MS0028,606261,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº28 ""DANTE L. SEGUNDO PEREIRA""",5 e/ 421 y 422,S/N,La Plata,221,4731219/4871365,1894,MM001028@ABC.GOV.AR,,VILLA ELISA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,117.0,-34.853349,-58.074543,16.0
0001MS0031,608977,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº31 ""GRAL JOSE DE SAN MARTIN""",46 e/ 2 y 3,366,La Plata,221,421-1372,1900,EES31_LP@HOTMAIL.COM,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,904.0,-34.908362,-57.948372,121.0
0001MS0031,608977,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº31 ""GRAL JOSE DE SAN MARTIN""",46 e/ 2 y 3,366,La Plata,221,421-1372,1900,EES31_LP@HOTMAIL.COM,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,128.0,-34.908362,-57.948372,17.0
0001MS0032,606231,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº32 ""MARY O GRAHAM""",51 E/ 14 Y 15,975,La Plata,221,421-0772,1900,ES32.NORMAL1.LP@GMAIL.COM,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,1117.0,-34.922297,-57.956903,150.0
0001MS0033,608543,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº33 ""DARDO ROCHA""",DIAGONAL 78 E/4 Y 5,,La Plata,221,421-5142,1900,,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,898.0,-34.916296,-57.941768,120.0
0001MS0034,608821,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº34 ""ALMAFUERTE""",58 e/8 y 9,S/N,La Plata,221,422-3367,1900,,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,1159.0,-34.920291,-57.945108,155.0
0001MS0037,616180,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº37,DIAG 6 483y 485,S/N,La Plata,221,471-4409,1896,EEM37DEGORINA@GMAIL.COM,,JOAQUIN GORINA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,235.0,-34.904933,-58.046284,31.0
0001MS0037,616180,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº37,DIAG 6 483y 485,S/N,La Plata,221,471-4409,1896,EEM37DEGORINA@GMAIL.COM,,JOAQUIN GORINA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,65.0,-34.904933,-58.046284,9.0
0001MS0038,617011,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº38,208 y 519,,La Plata,221,4916660,1900,SILVIASTTABES@GMAIL.COM,,ABASTO,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,450.0,-34.984279,-58.089017,60.0
0001MS0038,617011,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº38,208 y 519,,La Plata,221,4916660,1900,SILVIASTTABES@GMAIL.COM,,ABASTO,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,147.0,-34.984279,-58.089017,20.0
0001MS0041,617692,0,SEDE,1,INTERIOR,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº41 ""ESCUELA DEL BICENTENARIO""",236 (E/ 496 Y 498) RUTA 2 KM. 52,S/N,La Plata,221,491-6886,1903,MARIAJOSETREJO17@GMAIL.COM,LA RUEDA,ABASTO,La Plata,ESCUELA SECUNDARIA,Rural Disperso,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,154.0,-34.990121,-58.134773,21.0
0001MS0042,617720,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº42,452 Y 26,S/N,La Plata,221,472-4856,1896,MARCELAVITIELLO@YAHOO.COM.AR,,City Bell,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,366.0,-34.879616,-58.076188,49.0
0001MS0043,617693,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº43,7 Y 643,S/N,La Plata,221,491-0615,1900,ESCUELA43ARANA@GMAIL.COM,VILLA GARIBALDI,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,162.0,-34.97844,-57.865447,22.0
0001MS0044,617713,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº44,18 y 71,S/N,La Plata,221,457-7944,1900,,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,340.0,-34.940449,-57.940879,46.0
0001MS0045,618831,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº45,23 bis Y 85,S/N,La Plata,221,451-3796,1900,MIRIAMNOEMIVERA@HOTMAIL.COM,ALTOS DE SAN LORENZO,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,380.0,-34.952122,-57.928879,51.0
0001MS0046,617319,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº46,12 E/ 67 Y 68,S/N,La Plata,221,453-4422,1900,EES46PS@GMAIL.COM,PARQUE SAAVEDRA,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,408.0,-34.931729,-57.937838,55.0
0001MS0047,617732,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº47,28 y 471,434,La Plata,221,472-1401,1896,ESC.SECUNDARIA47@GMAIL.COM,,City Bell,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,136.0,-34.887091,-58.058204,18.0
0001MS0048,622341,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº48,RUTA 36 KM. 67,,La Plata,221,591-4433,,EES48LP@YAHOO.COM.AR,,POBLET,La Plata,ESCUELA SECUNDARIA,Rural Disperso,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,156.0,-35.060257,-57.954592,21.0
0001MS0049,617723,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº49,137 Y 86,S/N,La Plata,221,450-2588,1900,MARCOSROSENFELD11@GMAIL.COM,CAMPO BERRO,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,264.0,-34.969399,-57.945122,35.0
0001MS0050,617735,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº50,CALLE 120 E/523 Y 524,847,La Plata,221,588-1481,1900,SECUNDARIA50COMPLEJOLALAGUNA@YAHOO.COM.AR,BARRIO LA LAGUNA,TOLOSA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,238.0,-34.881925,-57.966088,32.0
0001MS0050,617735,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº50,CALLE 120 E/523 Y 524,847,La Plata,221,588-1481,1900,SECUNDARIA50COMPLEJOLALAGUNA@YAHOO.COM.AR,BARRIO LA LAGUNA,TOLOSA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Modalidad de Jóvenes y Adultos,Nivel Medio,84.0,-34.881925,-57.966088,11.0
0001MS0051,617706,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº51,90 Y 155,S/N,La Plata,221,15-523-4933,1900,,ARANA,LOS HORNOS,La Plata,ESCUELA SECUNDARIA,Rural Disperso,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,194.0,-34.988793,-57.958744,26.0
0001MS0052,617321,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº52,131 E/ 77 Y 78,2225,La Plata,221,451-9229,1900,ESCUELASECUNDARIA52@GMAIL.COM,ELIZALDE,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,314.0,-34.957697,-57.947182,42.0
0001MS0053,617701,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº53,185 Y 78,S/N,La Plata,221,496-2067,1900,PARAJELASCHACRAS.SEC@GMAIL.COM,LAS CHACRAS,LOS HORNOS,La Plata,ESCUELA SECUNDARIA,Rural Disperso,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,374.0,-35.009908,-58.001813,50.0
0001MS0054,617714,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº54,122 E/ 603 Y 604,,La Plata,221,486-4586,1900,CRISTINAGRACIELAALVAR@GMAIL.COM,VILLA MONTORO,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,301.0,-34.939833,-57.883582,40.0
0001MS0055,617733,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº55,6 (E/ 72 Y 73),S/N,La Plata,221,457-8742,1900,MERCEDESROMERO@YAHOO.COM.AR,VILLA ELVIRA,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,333.0,-34.930654,-57.925702,45.0
0001MS0056,618980,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº56,63 ESQ. 22,1338,La Plata,221,451-7440,1900,ELVIJULI137@YAHOO.COM.AR,,LA PLATA,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,367.0,-34.937534,-57.952765,49.0
0001MS0057,622728,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº57,144 E/454 y 467,,La Plata,221,475-0682,1986,EGB67LOSPORTENOS@GMAIL.COM,LOS PORTEÑOS,City Bell,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,123.0,-34.902498,-58.076155,16.0
0001MS0059,622492,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº59,11 Y 491,S/N,La Plata,221,471-5963,,,,MANUEL B. GONNET,La Plata,ESCUELA SECUNDARIA,Urbano,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,118.0,-34.873051,-58.019291,16.0
0001MS0060,622729,0,SEDE,1,INTERIOR,ESCUELA DE EDUCACIÓN SECUNDARIA Nº60,RUTA NAC.6 Y RUTA 53,,La Plata,221,15-523-4664,1900,ESCUELASECUNDARIA60@GMAIL.COM,Los Retoños,LA PLATA,La Plata,ESCUELA SECUNDARIA,Rural Disperso,Estatal,Oficial,Oficial,Educación Común,Nivel Secundario,87.0,-35.023144,-58.230526,12.0
