Universidad,Facultad,Título,Tipo de Título,Duración,Condiciones de Ingreso,Domicilio,Teléfono,Web,Mail,Disciplina
Universidad Abierta Interamericana,Facultad de Turismo y Hospitalidad - Rosario,Técnico Universitario en Turismo,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av.Pellegrini 1816 - Rosario - Santa Fé ,(00341) 4408010,www.uai.edu.ar ,uairosario@uai.edu.ar,Demografía y Geografía
Universidad Argentina de la Empresa,Facultad de Comunicación,Guía Bilingüe de Turismo,Otros Pregrados,2.5 Años,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,Demografía y Geografía
Universidad Argentina de la Empresa,Facultad de Comunicación,Licenciado en Turismo y Hotelería,Grado,4 Años,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,Demografía y Geografía
Universidad Argentina de la Empresa,Facultad de Comunicación,Técnico Universitario en Turismo y Hotelería,Título Intermedio,5 Cuatrimestres,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,Demografía y Geografía
Universidad Argentina de la Empresa,Facultad de Comunicación y Diseño,Técnico Universitario en Turismo y Hotelería,Título Intermedio,5 Cuatrimestres,Consulte con la Institución,Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 40007600,www.uade.edu.ar ,admision@uade.edu.ar,Demografía y Geografía
Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Licenciado en Turismo,Grado,4 Años,Ingreso Directo,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,Demografía y Geografía
Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Licenciado en Turismo - MD,Grado,4 Años,Consulte con la Institución,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,Demografía y Geografía
Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Técnico Universitario en Turismo,Título Intermedio,2.5 Años,Ingreso Directo,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,Demografía y Geografía
Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Técnico Universitario en Turismo - MD,Título Intermedio,2.5 Años,Ingreso Directo,Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(00800) 2225366,http://www.kennedy.edu.ar/ ,info@kennedy.edu.ar,Demografía y Geografía
Universidad Atlántida Argentina,ANEXO MAR DEL PLATA,Guía de Turismo,Título Intermedio,3 Años,Asistencia a Curso de Ingreso o Nivelación,ARENALES 2740 - Mar Del Plata - Buenos Aires ,(00223) 4915400,http://www.atlantida.edu.ar/ ,universidad@mdp.atlantida.edu.ar,Demografía y Geografía
Universidad Atlántida Argentina,ANEXO MAR DEL PLATA,Licenciado en Turismo,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,ARENALES 2740 - Mar Del Plata - Buenos Aires ,(00223) 4915400,http://www.atlantida.edu.ar/ ,universidad@mdp.atlantida.edu.ar,Demografía y Geografía
Universidad Atlántida Argentina,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,Guía de Turismo,Título Intermedio,3 Años,Asistencia a Curso de Ingreso o Nivelación,DIAG. RIVADAVIA 515 - Mar De Ajo - Buenos Aires ,(002257) 420338,http://www.atlantida.edu.ar/ ,universidad@atlantida.edu.ar,Demografía y Geografía
Universidad Atlántida Argentina,UNIVERSIDAD ATLANTIDA ARGENTINA SEDE CENTRAL,Licenciado en Turismo,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,DIAG. RIVADAVIA 515 - Mar De Ajo - Buenos Aires ,(002257) 420338,http://www.atlantida.edu.ar/ ,universidad@atlantida.edu.ar,Demografía y Geografía
Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Federación,Técnico en Hotelería,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Las Violetas 853 - Colonia La Argentina - Entre Ríos ,(003456) 481558, , ,Demografía y Geografía
Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Gualeguaychú,Técnico en Hotelería,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,25 de Mayo 497 - Gualeguaychu - Entre Ríos ,(003446) 427456, ,fcghoteleriagualeguaychu@hotmail.com,Demografía y Geografía
Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Paraná,Licenciado en Turismo,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Urquiza 1225 - Paraná - Entre Ríos ,(00343) 4211538, ,fcg_prensa@uader.edu.ar,Demografía y Geografía
Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Paraná,Técnico en Turismo,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Urquiza 1225 - Paraná - Entre Ríos ,(00343) 4211538, ,fcg_prensa@uader.edu.ar,Demografía y Geografía
Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Uruguay,Licenciado en Turismo,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Leguizamon 24 - Concepcion Del Uruguay - Entre Ríos ,(003442) 425554, ,fcg_sedeuruguay@uader.edu.ar,Demografía y Geografía
Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Uruguay,Técnico en Turismo,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Leguizamon 24 - Concepcion Del Uruguay - Entre Ríos ,(003442) 425554, ,fcg_sedeuruguay@uader.edu.ar,Demografía y Geografía
Universidad Autónoma de Entre Ríos,Facultad de Ciencias de la Gestión. Sede Villaguay,Técnico en Turismo,Técnico Instrumental,3 Años,Asistencia a Curso de Ingreso o Nivelación,Mitre 22 - Villaguay - Entre Ríos ,(003455) 424026,www.fcgvillaguay.com.ar ,turismo@fcgvillaguay.com.ar,Demografía y Geografía
Universidad Autónoma de Entre Ríos,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Paraná",Licenciado en Geografía,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,Justo José de Urquiza 900 - Paraná - Entre Ríos ,(00343) 4209702,http://fhaycs-uader.edu.ar/ ,comunicacion@fhaycs.uader.edu.ar,Demografía y Geografía
Universidad Autónoma de Entre Ríos,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Paraná",Profesor de Geografía,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Justo José de Urquiza 900 - Paraná - Entre Ríos ,(00343) 4209702,http://fhaycs-uader.edu.ar/ ,comunicacion@fhaycs.uader.edu.ar,Demografía y Geografía
Universidad Autónoma de Entre Ríos,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Uruguay",Licenciado en Geografía,Grado,5 Años,Asistencia a Curso de Ingreso o Nivelación,Jordana 50 - Concepcion Del Uruguay - Entre Ríos ,(003442) 425559, , ,Demografía y Geografía
Universidad Autónoma de Entre Ríos,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Uruguay",Profesor de Geografía,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Jordana 50 - Concepcion Del Uruguay - Entre Ríos ,(003442) 425559, , ,Demografía y Geografía
Universidad Blas Pascal,Vicerrectorado de Asuntos Académicos,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Donato Álvarez 380 - Córdoba - Córdoba ,(00351) 4144444,http://www.ubp.edu.ar/ ,informes@ubp.edu.ar,Demografía y Geografía
Universidad Blas Pascal,Vicerrectorado de Asuntos Académicos,Licenciado en Turismo - MD,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Donato Álvarez 380 - Córdoba - Córdoba ,(00351) 4144444,http://www.ubp.edu.ar/ ,informes@ubp.edu.ar,Demografía y Geografía
Universidad Blas Pascal,Vicerrectorado de Asuntos Académicos,Técnico Universitario en Administración de Empresas de Turismo - MD,Otros Pregrados,2 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Donato Álvarez 380 - Córdoba - Córdoba ,(00351) 4144444,http://www.ubp.edu.ar/ ,informes@ubp.edu.ar,Demografía y Geografía
Universidad CAECE,Departamento de Administración y Ciencias Sociales - Sede Mar del Plata,Licenciado en Turismo,Grado,4 Años,Consulte con la Institución,Olavarría 2464 - Mar Del Plata - Buenos Aires ,(00221) 4993400,www.ucaecemdp.edu.ar ,informes@caece.edu.ar,Demografía y Geografía
Universidad Católica de Cuyo,Facultad de Ciencias Económicas y Empresariales,Licenciado en Hotelería y Turismo,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Avda. José Ignacio de la Roza 1516 - San Juan - San Juan ,(00264) 4292300,www.uccuyo.edu.ar ,economicas@uccuyo.edu.ar,Demografía y Geografía
Universidad Católica de Cuyo,Facultad de Ciencias Químicas y Tecnológicas,Sommelier,Otros Pregrados,2 Años,Ingreso Directo,Avda. José Ignacio de la Roza 1516 (o) - San Juan - San Juan ,(00264) 4292300,www.uccuyo.edu.ar ,sacademico.csquimica@uccuyo.edu.ar,Demografía y Geografía
Universidad Católica de Cuyo,Facultad Don Bosco de Enología y Ciencias de la Alimentación - Sede Rodeo del Medio,Sommelier,Técnico Instrumental,2 Años,Consulte con la Institución,Ruta Pcial 50 6722 - Maipu - Mendoza ,(00261) 4951120,www.uccuyo.edu.ar ,seccionacademica@uccuyo.edu.ar,Demografía y Geografía
Universidad Católica de La Plata,Facultad de Ciencias Económicas y Sociales,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,25 e/47 y 48 S/N - La Plata - Buenos Aires ,(0221) 4393203,www.ucalp.edu.ar ,economicas@ucalp.edu.ar,Demografía y Geografía
Universidad Católica de La Plata,Facultad de Ciencias Económicas y Sociales,Técnico Universitario en Turismo,Título Intermedio,3 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,25 e/47 y 48 S/N - La Plata - Buenos Aires ,(0221) 4393203,www.ucalp.edu.ar ,economicas@ucalp.edu.ar,Demografía y Geografía
Universidad Católica de La Plata,Facultad de Humanidades,Licenciado en Geografía - Ciclo de Complementación Curricular - MD,Ciclo de Complementación Curricular,2 Años,Ingreso Directo,11 e/ 51 y 53 972 - La Plata - Buenos Aires ,(0221) 4393100,www.ucalp.edu.ar ,humanidades@ucalpvirtual.edu.ar,Demografía y Geografía
Universidad Católica de Salta,Escuela Universitaria de Turismo,Guía Universitario en Turismo,Título Intermedio,2 Años,Asistencia a Curso de Ingreso o Nivelación,Campo Castañares s/n S/N - Salta - Salta ,(00387) 4268567,http://www.ucasal.net ,turismo@ucasal.edu.ar,Demografía y Geografía
Universidad Católica de Salta,Escuela Universitaria de Turismo,Licenciado en Turismo,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Campo Castañares s/n S/N - Salta - Salta ,(00387) 4268567,http://www.ucasal.net ,turismo@ucasal.edu.ar,Demografía y Geografía
Universidad Católica de Salta,Escuela Universitaria de Turismo,Técnico Universitario en Turismo,Título Intermedio,3 Años,Asistencia a Curso de Ingreso o Nivelación,Campo Castañares s/n S/N - Salta - Salta ,(00387) 4268567,http://www.ucasal.net ,turismo@ucasal.edu.ar,Demografía y Geografía
Universidad Católica de Salta,Escuela Universitaria de Turismo - Sistema de Educación a Distancia,Licenciado en Turismo - Ciclo de Licenciatura - MD,Ciclo de Licenciatura,2 Años,Asistencia a Curso de Ingreso o Nivelación,Campo Castañares s/n - Salta - Salta ,(00387) 4268800,http://www.ucasal.net ,informes@ucasal.edu.ar,Demografía y Geografía
Universidad Católica de Santa Fe,Facultad de Humanidades,Licenciado en Gestión Turística del Patrimonio Cultural - Ciclo de Licenciatura,Ciclo de Licenciatura,1.5 Años,Consulte con la Institución,Eschagüe 7151 - Santa Fe - Santa Fé ,(00342) 4603030,http://www.ucsf.edu.ar/ ,webmaster@ucsf.edu.ar,Demografía y Geografía
Universidad Católica de Santiago del Estero,Departamento Académico Buenos Aires,Licenciado en Geografía - Ciclo de Licenciatura,Ciclo de Licenciatura,2 Años,Ingreso Directo,Corrientes 180 - Olivos - Buenos Aires ,(0011) 47904110,http://www.ucse.edu.ar/web/olivos/sede_olivos.htm ,info.daba@ucse.edu.ar,Demografía y Geografía
Universidad Católica de Santiago del Estero,Departamento Académico Rafaela,Licenciado en Turismo,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Boulevard Hipólito Irigoyen 1502 - Rafaela - Santa Fé ,(003492) 432832,http://www.ucse.edu.ar/web/rafaela/sede_rafaela.htm ,secextension@ucse.edu.ar,Demografía y Geografía
Universidad Católica de Santiago del Estero,Departamento Académico San Salvador,Licenciado en Turismo,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Lavalle 333 - San Salvador De Jujuy - Jujuy ,(00388) 4236139,http://www.ucse.edu.ar/web/jujuy/sede_jujuy.htm ,hfernandez@ucse.edu.ar,Demografía y Geografía
Universidad Católica de Santiago del Estero,Facultad de Ciencias Económicas,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Alsina Y Dalmacio Vélez Sarsfield s/n - Santiago Del Estero - Santiago Del Estero ,(00385) 4211777,http://www.ucse.edu.ar/web/sede_sgo/fce/sc%20fce.htm ,secretaria.economicas@ucse.edu.ar,Demografía y Geografía
Universidad Católica de Santiago del Estero,"Facultad de Ciencias Políticas, Sociales y Jurídicas",Licenciado en Geografía - Ciclo de Licenciatura,Ciclo de Licenciatura,2 Años,Ingreso Directo,Av. Alsina Y Dalmacio Vélez Sarsfield s/n - Santiago Del Estero - Santiago Del Estero ,(00385) 4211777,http://www.ucse.edu.ar/web/sede_sgo/fcpsj/sc%20fcpsj.htm ,secretariapoliticas@ucse.edu.ar,Demografía y Geografía
Universidad Católica de Santiago del Estero,"Facultad de Ciencias Políticas, Sociales y Jurídicas",Profesor en Geografía,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Alsina Y Dalmacio Vélez Sarsfield s/n - Santiago Del Estero - Santiago Del Estero ,(00385) 4211777,http://www.ucse.edu.ar/web/sede_sgo/fcpsj/sc%20fcpsj.htm ,secretariapoliticas@ucse.edu.ar,Demografía y Geografía
Universidad de Belgrano,Facultad de Ciencias Económicas,Licenciado en Hotelería,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 47885400,www.ub.edu.ar ,ingresos@ub.edu.ar,Demografía y Geografía
Universidad de Belgrano,Facultad de Estudios a Distancia y Educación Virtual,Licenciado en Hotelería y Turismo - Ciclo de Complementación Curricular - MD,Ciclo de Complementación Curricular,2 Años,Asistencia a Curso de Ingreso o Nivelación,Av. Federico Lacroze 1955 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 45114740,http://www.ub.edu.ar/ ,titolasanta@gmail.com,Demografía y Geografía
Universidad de Belgrano,Facultad de Estudios a Distancia y Educación Virtual,Técnico en Hotelería y Turismo - MD,Técnico Instrumental,2 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Federico Lacroze 1955 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 45114740,http://www.ub.edu.ar/ ,titolasanta@gmail.com,Demografía y Geografía
Universidad de Belgrano,Facultad de Humanidades,Agente de Viajes y Turismo,Técnico Instrumental,2 Años,Asistencia a Curso de Ingreso o Nivelación,Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 47885400,www.ub.edu.ar ,ingresos@ub.edu.ar,Demografía y Geografía
Universidad de Buenos Aires,Facultad de Agronomía,Técnico en Turismo Rural,Otros Pregrados,3 Años,Ingreso Directo,Av. San Martín 4453 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 45083620,www.agro.uba.ar ,alumnos@agro.uba.ar,Demografía y Geografía
Universidad de Buenos Aires,Facultad de Filosofía y Letras,Licenciado en Geografía,Grado,5 Años,Ingreso Directo,Puán 480 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 45083619,www.filo.uba.ar ,doeinfo@rec.uba.ar,Demografía y Geografía
Universidad de Buenos Aires,Facultad de Filosofía y Letras,Profesor de Enseñanza Media y Superior en Geografía,Grado,5 Años,Ingreso Directo,Puán 480 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 45083619,www.filo.uba.ar ,doeinfo@rec.uba.ar,Demografía y Geografía
Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias Empresariales,Licenciado en Turismo,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 48153290,www.uces.edu.ar ,informes@uces.edu.ar,Demografía y Geografía
Universidad de Congreso,Facultad Universidad de Congreso,Licenciado en Hoteleria,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Av. Colón 90 - Mendoza - Mendoza ,(00261) 4230630,http://www.ucongreso.edu.ar/ ,ucongreso@ucongreso.edu.ar,Demografía y Geografía
Universidad de Congreso,Facultad Universidad de Congreso,Licenciado en Turismo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Colón 90 - Mendoza - Mendoza ,(00261) 4230630,http://www.ucongreso.edu.ar/ ,ucongreso@ucongreso.edu.ar,Demografía y Geografía
Universidad de Congreso,Facultad Universidad de Congreso,Técnico Universitario en Hotelería,Otros Pregrados,3 Años,Asistencia a Curso de Ingreso o Nivelación,Av. Colón 90 - Mendoza - Mendoza ,(00261) 4230630,http://www.ucongreso.edu.ar/ ,ucongreso@ucongreso.edu.ar,Demografía y Geografía
Universidad de Congreso,Facultad Universidad de Congreso,Técnico y Guía Universitario en Turismo,Título Intermedio,3 Años,Asistencia a Curso de Ingreso o Nivelación,Av. Colón 90 - Mendoza - Mendoza ,(00261) 4230630,http://www.ucongreso.edu.ar/ ,ucongreso@ucongreso.edu.ar,Demografía y Geografía
Universidad del Aconcagua,Facultad de Ciencias Sociales y Administrativas,Licenciado en Turismo - Ciclo de Licenciatura,Ciclo de Licenciatura,3 Semestres,Consulte con la Institución,Catamarca 147 - Mendoza - Mendoza ,(00261) 5201631,www.uda.edu.ar ,fcsa@uda.edu.ar,Demografía y Geografía
Universidad del Aconcagua,Facultad de Ciencias Sociales y Administrativas,Licenciado en Turismo y Hotelería,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Catamarca 147 - Mendoza - Mendoza ,(00261) 5201631,www.uda.edu.ar ,fcsa@uda.edu.ar,Demografía y Geografía
Universidad del Aconcagua,Rectorado,Sommelier,Otros Pregrados,2 Años,Asistencia a Curso de Ingreso o Nivelación,Catamarca 147 - Mendoza - Mendoza ,(00261) 5201629,http://www.uda.edu.ar/ ,rectorado@uda.edu.ar,Demografía y Geografía
Universidad de la Defensa Nacional,Facultad del Ejército,Técnico en Geomática,Otros Pregrados,3 Años,Exámen de Ingreso,Av Cabildo 65 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 45765652,www.iese.edu.ar ,informes@iue.edu.ar,Demografía y Geografía
Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,Facultad de Ciencias Económicas,Licenciado en Turismo - Ciclo de Licenciatura - MD,Ciclo de Licenciatura,2 Años,Consulte con la Institución,Gascón 3145 - Mar Del Plata - Buenos Aires ,(00223) 4990440,http://www.ufasta.edu.ar/ ,economicas@ufasta.edu.ar,Demografía y Geografía
Universidad de la Marina Mercante,"Facultad de Ciencias Jurídicas, Sociales y de la Comunicación",Licenciado en Turismo,Grado,4 Años,Asistencia a Curso de Ingreso o Nivelación,Av. Rivadavia 2258 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 49539000,www.udemm.edu.ar ,udemm@udemm.edu.ar,Demografía y Geografía
Universidad del Norte Santo Tomás de Aquino,Facultad de Economía y Administración,Licenciado en Turismo,Grado,4 Años,Ingreso Directo,9 de Julio 165 - San Miguel De Tucuman - Tucumán ,(00381) 4306980,http://www.unsta.edu.ar/ ,info@unsta.edu.ar,Demografía y Geografía
Universidad del Norte Santo Tomás de Aquino,Facultad de Economía y Administración,Técnico en Empresas Turísticas,Título Intermedio,3 Años,Ingreso Directo,9 de Julio 165 - San Miguel De Tucuman - Tucumán ,(00381) 4306980,http://www.unsta.edu.ar/ ,info@unsta.edu.ar,Demografía y Geografía
Universidad del Salvador,Complejo Educativo Nuestra Señora del Pilar,Licenciado en Turismo,Grado,4 Años,Consulte con la Institución,Champagnat 1599 - Pilar - Buenos Aires ,(002322) 431260,www.usal.edu.ar ,uds-rect@salvador.edu.ar,Demografía y Geografía
Universidad del Salvador,Complejo Educativo Nuestra Señora del Pilar,Técnico en Turismo,Título Intermedio,3 Años,Consulte con la Institución,Champagnat 1599 - Pilar - Buenos Aires ,(002322) 431260,www.usal.edu.ar ,uds-rect@salvador.edu.ar,Demografía y Geografía
Universidad del Salvador,"Facultad de Historia, Geografía y Turismo",Bachiller Superior en Geografía,Título Intermedio,3 Años,Consulte con la Institución,Viamonte 2213 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 49520591,www.usal.edu.ar ,turismo@usal.edu.ar,Demografía y Geografía
Universidad del Salvador,"Facultad de Historia, Geografía y Turismo",Licenciado en Geografía,Grado,4 Años,Consulte con la Institución,Viamonte 2213 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 49520591,www.usal.edu.ar ,turismo@usal.edu.ar,Demografía y Geografía
Universidad del Salvador,"Facultad de Historia, Geografía y Turismo",Licenciado en Turismo,Grado,4 Años,Consulte con la Institución,Viamonte 2213 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 49520591,www.usal.edu.ar ,turismo@usal.edu.ar,Demografía y Geografía
Universidad del Salvador,"Facultad de Historia, Geografía y Turismo",Técnico en Turismo,Título Intermedio,3 Años,Consulte con la Institución,Viamonte 2213 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,(0011) 49520591,www.usal.edu.ar ,turismo@usal.edu.ar,Demografía y Geografía
Universidad de Morón,Facultad de Ciencias Aplicadas al Turismo y la Población,Licenciado en Gestión Hotelera - Ciclo de Licenciatura,Ciclo de Licenciatura,2 Años,Consulte con la Institución,Machado 854 - Moron - Buenos Aires ,(0011) 56272000,http://www.unimoron.edu.ar/ ,infocarreras@unimoron.edu.ar,Demografía y Geografía
Universidad de Morón,Facultad de Ciencias Aplicadas al Turismo y la Población,Licenciado en Turismo,Grado,5 Años,Consulte con la Institución,Machado 854 - Moron - Buenos Aires ,(0011) 56272000,http://www.unimoron.edu.ar/ ,infocarreras@unimoron.edu.ar,Demografía y Geografía
Universidad de Morón,Facultad de Ciencias Aplicadas al Turismo y la Población,Licenciado en Turismo - Ciclo de Licenciatura,Ciclo de Licenciatura,2 Años,Consulte con la Institución,Machado 854 - Moron - Buenos Aires ,(0011) 56272000,http://www.unimoron.edu.ar/ ,infocarreras@unimoron.edu.ar,Demografía y Geografía
