long,lat,objectid,cui,cueanexo,cue,anexo,sector,dom_edific,dom_establ,nombre_estab,nombre_abrev,telefono,email,codpost,pagina_web,nivmod,nivelmodal,depfun,de,comunas,barrio,codigo_postal,codigo_postal_argentino,areaprogra,estado,point_x,point_y,nivel,tipest,tipoesta
-58.4771952719494,-34.6752826185187,30,201766,20067200,200672,0,2,Aquino 5654,Aquino 5654,Colegio San Martín de los Andes,Col S M de los Andes,4601-0455/4602-5171,colegio@yahoo.com.ar,C1439,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",Dir Gral de Educación de Gestión Privada,21.0,8.0,VILLA LUGANO,1439,C1439ADX,09 - HOSP SANTOJANNI,1,98726.5523,94895.5344,"Inicial, Primario y Secundario Común",Instituto Educativo Incorporado a la Enseñanza Oficial,IEIEO (Instituto Educativo Incorporado a la Enseñanza Oficial)
-58.4728579591355,-34.6348530110385,31,202614,20001600,200016,0,2,Avda. Juan Bautista Alberdi 3270,Avda. Juan Bautista Alberdi 3270,Escuela Argentina de Psicomotricidad - A.C.E.S,Esc Arg de Psicomotricidad  ACE,4611-7081,aces.escuela@gmail.com,C1406,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,SNUCom,Nivel Superior No Universitario Común,Dir Gral de Educación de Gestión Privada,11.0,10.0,FLORESTA,1406,C1406GSV,06 - HOSP PIÑERO,1,99123.6032,99380.6112,Superior No Universitario Común,Instituto Educativo Incorporado a la Enseñanza Oficial,IEIEO (Instituto Educativo Incorporado a la Enseñanza Oficial)
-58.480931094201,-34.6265564767776,32,200612,20159800,201598,0,1,San Nicolás 588,San Nicolás 588,Centro Educativo de Nivel Primario - Sede Supervisión,CENP ACENP,4672-2684,adu_centros@yahoo.com.ar,C1407,http://www.buenosaires.gob.ar/educacion/estudiantes/adultos/primaria?menu_id=12643,PriAdu,Nivel Primario de Jóvenes y Adultos,Dir de Educación del Adulto y del Adolescente,12.0,10.0,FLORESTA,1407,C1407DCJ,01 - HOSP ALVAREZ,1,98383.1963,100300.8731,Primario de Jóvenes y Adultos,Centro Educativo de Nivel Primario,CENP (Centro Educativo de Nivel Primario)
-58.4489651481983,-34.6623263611281,33,200863,20184518,201845,18,1,Martínez Castro 3061,Martínez Castro 3061,"Centro de Alfabetización, Educación Básica y Trabajo N° 16",CAEByT 16,4300-7915,paebyt@gmail.com,C1437,http://www.buenosaires.gob.ar/educacion/estudiantes/adultos/primaria?menu_id=12643,PriAdu - OSEAdu,Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Dir de Educación del Adulto y del Adolescente,19.0,8.0,VILLA SOLDATI,1437,C1437CHE,06 - HOSP PIÑERO,1,101313.9632,96332.8401,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,"Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos","PAEByT (Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos)"
-58.4333952529054,-34.6281508052613,34,202153,20276100,202761,0,2,Avda. Directorio 486,Avda. Directorio 486,Escuela Infantil Mi pequeño Sol,EI Mi Pequeño Sol,4923-3237,mipsol@yahoo.com.ar,C1424,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/riae.php?menu_id=23314,OSECom,Otros Servicios Educativos de la modalidad Común,GO Registro de Institutos Educativos Asistenciales,8.0,7.0,PARQUE CHACABUCO,1424,C1424CIR,03 - HOSP DURAND,1,102742.2268,100123.7689,Otros Servicios Educativos de la modalidad Común,Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial,RIEA (Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial)
-58.4541523558968,-34.5614216119084,35,200496,20158301,201583,1,1,Cuba 2039,Cuba 2039,Jardín de Infantes Común N° 03/10° anexo,JIC 03/10 a,4784-2390/4788-8319,jardin310@hotmail.com,C1428,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,Dir de Educación Inicial,10.0,13.0,BELGRANO,1428,C1428AEE,07 - HOSP PIROVANO,1,100839.4441,107526.6059,Inicial Común,Jardín de Infantes Común,JIC (Jardín de Infantes Común)
-58.4968766370763,-34.5852403435108,36,200755,20046300,200463,0,1,Vallejos 2555,Vallejos 2555,Esc. Primaria Común N° 17 Gregoria Matorras y del Ser de San Martin,EPjc 17,4571-2528,esc17de16@gmail.com,C1419,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,Dir de Educación Primaria,16.0,12.0,VILLA PUEYRREDON,1419,C1419GII,12 - HOSP ZUBIZARRETA,1,96919.4221,104883.8306,Primario Común,Escuela de Jornada Completa,JC (Escuela de Jornada Completa)
-58.3854715767526,-34.6007470733945,37,200008,20201000,202010,0,1,Talcahuano 680,Viamonte 1314,Centro Educativo Cursos Especiales - Supervisión Cursos Especiales,CECE Sup .Cursos Especiales,4372-7201,smeadultos@yahoo.com.ar,C1053,http://www.buenosaires.gob.ar/areas/educacion/niveles/adultos/oferta.php?menu_id=12643,OSEAdu,Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Dir de Educación del Adulto y del Adolescente,1.0,1.0,SAN NICOLAS,1053,C1053ACB,08 - HOSP RAMOS MEJIA,1,107139.1178,103161.4404,Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Cursos Especiales en Centros Educativos,CECE (Cursos Especiales en Centros Educativos)
-58.4244909767974,-34.6084740093796,38,200110,20202800,202028,0,1,Avda. Díaz Vélez 4093,Avda. Díaz Vélez 4093,Centro de Formación Profesional N° 29 Asociación de Educadores Porteños,CFP 29 AEP,4981-1131,cfp_veintinueve@yahoo.com.ar,C1200,http://www.buenosaires.gob.ar/educacion/educacionytrabajo?menu_id=20091,OSECom - OSEAdu,Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos,Gerencia Operativa de Formación Laboral,2.0,5.0,ALMAGRO,1200,C1200AAH,03 - HOSP DURAND,1,103559.5688,102306.3131,Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos,Centro de Formación Profesional,CFP (Centro de Formación Profesional)
-58.4219920022806,-34.6488180899028,39,200846,20239900,202399,0,1,Tilcara 2856,Tilcara 2856,Centro Educativo de Nivel Secundario N° 84,CENS 84,4918-3640,deaa_cens84_de19@bue.edu.ar,C1437,http://www.buenosaires.gob.ar/educacion/estudiantes/adultos/secundaria,SecAdu,Nivel Secundario de Jóvenes y Adultos,Dir de Educación del Adulto y del Adolescente,19.0,4.0,NUEVA POMPEYA,1437,C1437CYB,05 - HOSP PENNA,1,103786.9699,97830.7022,Secundario de Jóvenes y Adultos,Centro Educativo de Nivel Secundario,CENS (Centro Educativo de Nivel Secundario)
-58.4465481187489,-34.6283157296041,40,200435,20240800,202408,0,1,Puán 480,Puán 480,Centro Educativo de Nivel Secundario N° 79,CENS 79,4432-0606 INT 215,deaa_cens79_de8@bue.edu.ar,C1424,http://www.buenosaires.gob.ar/educacion/estudiantes/adultos/secundaria,SecAdu,Nivel Secundario de Jóvenes y Adultos,Dir de Educación del Adulto y del Adolescente,8.0,6.0,CABALLITO,1406,C1406CQJ,06 - HOSP PIÑERO,1,101536.1166,100105.7451,Secundario de Jóvenes y Adultos,Centro Educativo de Nivel Secundario,CENS (Centro Educativo de Nivel Secundario)
-58.4630262172133,-34.6127434808747,41,202154,20276000,202760,0,2,Terrero 1321,Terrero 1321,Jardín de Infantes Había Una Vez,JI Había Una Vez,4581-2658,escuelainfantilhabiaunavez@yahoo.com.ar,C1416,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,OSECom,Otros Servicios Educativos de la modalidad Común,GO Registro de Institutos Educativos Asistenciales,7.0,11.0,VILLA GRAL. MITRE,1416,C1416BME,01 - HOSP ALVAREZ,1,100025.0856,101833.3496,Otros Servicios Educativos de la modalidad Común,Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial,RIEA (Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial)
-58.3672048917925,-34.6207211269813,42,200206,20153100,201531,0,2,Humberto I° 102,Humberto I° 102,Inst. Privado de Educación Técnica y Formación Profesional 13,I Priv de ETéc y Form Profesional,4361-7075/4307-6575,info@13dejulio.edu.ar,C1103,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,SecCom,Nivel Secundario Común,Dir Gral de Educación de Gestión Privada,4.0,1.0,SAN TELMO,1103,C1103ACD,02 - HOSP ARGERICH,1,108812.6117,100944.2146,Secundario Común,Instituto Educativo Incorporado a la Enseñanza Oficial,IEIEO (Instituto Educativo Incorporado a la Enseñanza Oficial)
-58.3753415823337,-34.6125354361829,43,200154,20178100,201781,0,1,Avda. Belgrano 637,Avda. Belgrano 637,Instituto de Formación Técnica Superior N° 12,IFTS 12 UPCN,4345-6676 INT 235,dfts_ifts12_de1@bue.edu.ar,C1029,http://www.buenosaires.gob.ar/educacion/estudiantes/terciario/formacion-tecnica-superior,SNUCom - OSEAdu,Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Dir de Formación Técnica Superior,3.0,1.0,MONTSERRAT,1092,C1092AAG,02 - HOSP ARGERICH,1,108067.2034,101852.9592,Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Instituto de Formación Técnica Superior,IFTS (Instituto de Formación Técnica Superior)
-58.4488610408293,-34.6291905267277,44,202156,20278800,202788,0,2,Achaval 419,Achaval 419,Jardín de Infantes El Duende Rojo,JI El Duende Rojo,4433-0904,elduenderojo@hotmail.com.ar,C1406,http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,OSECom,Otros Servicios Educativos de la modalidad Común,GO Registro de Institutos Educativos Asistenciales,8.0,6.0,CABALLITO,1406,C1406CWE,06 - HOSP PIÑERO,1,101324.0106,100008.7321,Otros Servicios Educativos de la modalidad Común,Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial,RIEA (Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial)
